Project Name,City,State,Utility,System Size (kW),Year of Interconnection,Co-located Projects,Ciy Lat,City Long
Ouachita Headquarters Community Array,Camden,AR,Ouachita Electric Cooperative,93,2016,,33.584558,-92.834329
Holly Springs Community Solar,Holly Springs,AR,Ouachita Electric Cooperative,1000,2017,,33.815383,-92.709605
Bearskin Community Solar Center,Scott,AR,Entergy,150,2015,,34.6965,-92.0963
One Solar program,Springdale,AR,Ozarks Electric Cooperative Corp.,1000,2016,,36.186744,-94.128814
Bright Tucson Community Solar Program,Florence,AZ,Tucson Electric Power,22300,2011,,32.22,-110.96
La Senita Elementrary School,Kingman,AZ,UniSource Energy Services,1220,2012,,31.362086,-110.9335947
Steven H. Jacobson Solar Facility,Kingman,AZ,UniSource Energy Services,5000,2017,,31.362086,-110.9335947
Western Wind Energy's Integrated Wind and Solar System,Kingman,AZ,UniSource Energy Services,500,,,31.362086,-110.9335947
Community Sun Farm Program,Marana,AZ,Trico Electric Cooperative,227,2011,,32.42,-111.15
Copper Crossing,Tempe,AZ,Salt River Project,20000,2011,,33.44,-111.95
106 E. 1st Avenue,Antonito,CO,Xcel Energy,500,2014,,37.0756425,-106.0106692
SAN LUIS COMMUNITY SOLAR GARDEN,Antonito,CO,Xcel Energy,1500,2016,,37.0756425,-106.0106692
9105 Alkire Street Arvada 80111 JEFFERSON,Arvada,CO,Xcel Energy,100,2015,,39.8028,-105.0875
Jefferson Community Solar Garden,Arvada,CO,Xcel Energy,1496.88,2016,,39.8028,-105.0875
Aurora/Arapahoe Community Solar Array 2,Aurora,CO,Xcel Energy,499.895,2013,Aurora/Arapahoe Community Solar,39.74,-104.77
Aurora/Arapahoe Community Solar Array 1,Aurora,CO,Xcel Energy,498.01,2013,Aurora/Arapahoe Community Solar,39.727966,-104.771908
2501 Dallas St Aurora 80010 ADAMS,Aurora,CO,Xcel Energy,100,2015,,39.74,-104.77
28102 E. Quincy Ave. Aurora 80138 ARAPAHOE,Aurora,CO,Xcel Energy,1984.5,2015,Aurora/Arapahoe Community Solar,39.74,-104.77
28102 E. Quincy Ave Unit 2 Aurora 80138 ARAPAHOE,Aurora,CO,Xcel Energy,1999.5,2015,,39.74,-104.77
21000 E 6th Ave Aurora 80018 ARAPAHOE,Aurora,CO,Xcel Energy,1995,2015,,39.73,-104.77
Paradox Valley Solar Array,Bedrock,CO,San Miguel Power Association,1124.24,2013,,39.953,-105.19687
BHE Roofless Solar Array,Boone,CO,Black Hills Energy,124.8,2016,,39.95,-105.197
Boulder Cowdery Meadows Solar Array,Boulder,CO,Xcel Energy,496.455,2013,Boulder Cowdery Meadows Solar Array,39.952525,-105.19687
Boulder Cowdery Meadows Solar Array 2,Boulder,CO,Xcel Energy,499.895,2015,Boulder Cowdery Meadows Solar Array,39.49,-106.03
Breckenridge Sol Array,Breckenridge,CO,Xcel Energy,499.515,2013,,39.973757,-104.8163839
Breckenridge Ullr Solar Array,Breckenridge,CO,Xcel Energy,497.965,2013,,39.39,-107.1
Sol Partners Program,Brighton,CO,United Power,35,2009,,39.42,-107.2
Sunnyside Ranch Community Solar Array,Carbondale,CO,Holy Cross Energy,1792.565,2015,,39.41,-107.157
SunShare - Venetucci Farm,Colorado Springs,CO,Colorado Springs Utilities,576,2011,,38.76,-104.73
Good Shepherd Solar Garden,Colorado Springs,CO,Colorado Springs Utilities,500,2012,,38.76,-104.73
Pikes Peak Solar Garden,Colorado Springs,CO,Colorado Springs Utilities,3200,2015,,38.77,-104.74
Colorado Springs Community Solar Array,Colorado Springs,CO,Colorado Springs Utilities,497.25,2015,,38.7576111,-104.7640556
Solar Assist Cooperative Garden,Cortez,CO,Empire Electric Association,,2011,,38.866762,-106.981532
Empire Electric Association Solar Garden,Cortez,CO,Empire Electric Association,26,2016,,40.520062,-107.5439514
Yampa Valley Community Solar Array,Craig,CO,Yampa Valley Electric Association,579.08,2014,,40.47,-107.56
GCEA Community Solar Garden,Crested Butte,CO,Gunnison County Electric Association,,2015,,39.79,-104.78
Denver County 2,Denver,CO,Xcel Energy,499.4,2014,,39.78,-104.78
Denver/Lowry Community Solar Array,Denver,CO,Xcel Energy,400.075,2014,,39.394984,-107.090326
Denver County 3,Denver,CO,Xcel Energy,499.4,2014,,37.272589,-107.8987658
Denver Community Solar Garden,Denver,CO,Xcel Energy,1500,2015,,40.58526,-105.084423
2500 Lawrence Denver 80205 DENVER,Denver,CO,Xcel Energy,100,2015,,39.72,-104.897
Durango Solar Gardens/ Shaw Solar,Durango,CO,La Plata Electric Association,52,2014,,40.58,-105.06
Mid Valley Solar Array,El Jebel,CO,Holy Cross Energy,77.74,2010,,39.39,-107.1
